case#,state,q0a,q0b,q1,q2,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23,q24,q25,q26,q27,q28,q29,q30,q31,q32,q33,q34,q35m1,q36,q37,q38,vote16,educ,ideo,liberal,conserv,moderate,party,democrat,republican,dem_rep_lean,cell1,cell2,cell3,hispanic,raceq,brnagain,carea,income,getstate,gender,age,agex,partyid,phil3,whtevang,region,Tvote2016,Phil7,Phil5,PID7,PID5,weight,samtype
612,NJ,Yes (All),1959,Strongly disapprove,Disapprove,Not at all,Not at all,Strongly disapprove,Strongly disapprove,Strongly disapprove,Somewhat approve,Somewhat approve,Strongly disapprove,Wrong direction,Worst is yet to come,Not taking the pandemic seriously enough,Nothing could have prevented it from spreading the way it has,"No, does not describe","No, does not describe","No, does not describe","No, does not describe",Very,Very,Not very,Not very,Not very,Oppose,Oppose,Too little,Somewhat,No difference,No silver lining,No,Not very,Yes,Republican Donald Trump,"(Some college, no degree)",Moderate, , ,Lean conservative,Democrat,Not so strong, , ,"No, no home telephone", , ,No,White,No,Suburban,"$100,000 or more",NJ,Male,55-64,61,Democrat,CONSRV (very + somewhat conservative),no,Northeast,Trump 10%+,Lean Conservative,Somewhat Conservative,Somewhat Democrat,Lean Democarat,.853752362,Cell
613,OK,Yes (All),1999,Somewhat approve,(Dont know),Somewhat,Not very,(Dont know),Strongly disapprove,(Dont know),(Dont know),(Dont know),Strongly approve,Right direction,Worst is yet to come,Reacting appropriately,Federal government could have slowed the spread of the virus,"Yes, describes","Yes, describes","Yes, describes","Yes, describes",Very,Very,Very,Very,Very,Favor,Favor,Just about right,A great deal,Less,Will be stronger in the future / Pandemic will be contained,No,Very,Yes,Republican Donald Trump,"(Some college, no degree)",(Dont know), , ,(Dont know),Republican, ,Strong, ,"No, no home telephone", , ,No,"African-American, black",Yes,(Refused_Dont know),"Under $30,000",OK,Male,18-29,21,"Republican,","MODERATE,",no,South,Trump 10%+,Moderate,Moderate,Strong Republican,Strong Republican,1.228025315,Cell
615,SC,Yes (All),2001,Somewhat approve,Disapprove,Not very,Not at all,Somewhat approve,Somewhat approve,Strongly approve,Strongly approve,Strongly approve,Somewhat approve,Wrong direction,Worst is yet to come,Not taking the pandemic seriously enough,Nothing could have prevented it from spreading the way it has,"Yes, describes","Yes, describes","No, does not describe","Yes, describes",Very,Somewhat,Very,Very,Somewhat,Oppose,Favor,Just about right,Not much,No difference,Bringing people together / Sense of community,No,Not very,No,Or did things come up to keep you from voting?,(High school graduate_GED_High school equivalency),Moderate, , ,Dont lean either way,Republican, ,Not so strong, ,"Yes, has a home telephone", ,Some received on a cell phone and some on a regular home phone,No,White,Yes,Small town,"$30,000 to under $50,000",SC,Male,18-29,19,"Republican,","MODERATE,",yes,South,Trump 10%+,Moderate,Moderate,Somewhat Republican,Lean Republican,1.608560948,Cell
616,DE,Yes (All),1961,Strongly approve,(Dont know),Very,Somewhat,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,Right direction,(Dont know),Reacting appropriately,Nothing could have prevented it from spreading the way it has,"Yes, describes","Yes, describes","Yes, describes","Yes, describes",Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Favor,Favor,(Dont know),A great deal,No difference,Preparation for the future / Better prepared for future outbreaks,No,Somewhat,Yes,Republican Donald Trump,(4-year degree_traditional college degree),Conservative, ,Very conservative, ,Republican, ,Strong, ,"Yes, has a home telephone", ,Some received on a cell phone and some on a regular home phone,No,White,No,Suburban,"$75,000 to under $100,000",DE,Female,55-64,59,"Republican,",CONSRV (very + somewhat conservative),no,South,Clinton 10%+,Very Conservative,Very Conservative,Strong Republican,Strong Republican,.80052247,Cell
617,MN,Yes (All),1998,Somewhat approve,Approve,Somewhat,Not very,Somewhat approve,Strongly approve,Somewhat approve,Somewhat disapprove,Strongly approve,Somewhat approve,(Dont know),(Dont know),Not taking the pandemic seriously enough,Nothing could have prevented it from spreading the way it has,"Yes, describes","No, does not describe","No, does not describe","Yes, describes",Not very,Somewhat,Somewhat,Somewhat,Not at all,Favor,Favor,Too much,Somewhat,No difference,Other,Yes,Very,No,Republican Donald Trump,(4-year degree_traditional college degree),Conservative, ,Somewhat conservative, ,Republican, ,Not so strong, ,"Yes, has a home telephone", ,All or almost all calls received on a cell phone,No,White,Yes,Small town,"$30,000 to under $50,000",MN,Male,18-29,22,"Republican,",CONSRV (very + somewhat conservative),yes,Midwest,Close,Somewhat Conservative,Somewhat Conservative,Somewhat Republican,Lean Republican,1.41416228,Cell
618,NC,Yes (All),1990,Somewhat approve,Approve,Somewhat,Somewhat,Somewhat approve,Somewhat disapprove,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,Right direction,Worst is yet to come,Not taking the pandemic seriously enough,Federal government could have slowed the spread of the virus,"No, does not describe","No, does not describe","No, does not describe","No, does not describe",Very,Very,Somewhat,Somewhat,Very,Favor,Favor,Too little,Somewhat,No difference,Spending more time with family,No,Somewhat,Yes,Democrat Hillary Clinton,(4-year degree_traditional college degree),Moderate, , ,Lean conservative,Democrat,Strong, , ,"No, no home telephone", , ,No,White,No,Urban,"$50,000 to under $75,000",NC,Male,30-45,30,Democrat,CONSRV (very + somewhat conservative),no,South,Close,Lean Conservative,Somewhat Conservative,Strong Democrat,Strong Democarat,.918971271,Cell
619,CT,Yes (All),2002,Somewhat disapprove,(Dont know),Somewhat,Not at all,(Dont know),(Dont know),(Dont know),Strongly approve,(Dont know),Somewhat disapprove,Right direction,Worst is over,(Dont know),Federal government could have slowed the spread of the virus,"Yes, describes",(Dont know),(Dont know),"No, does not describe",Somewhat,Not very,Not at all,Somewhat,Very,Oppose,Favor,Just about right,Somewhat,More,Giving the environment a break / Less pollution,No,Not at all,No,Or did things come up to keep you from voting?,(High school graduate_GED_High school equivalency),(Dont know), , ,Dont lean either way,Neither, , ,Dont lean either way,(Dont know_Refused), , ,No,White,No,Suburban,DO NOT READ -- (Refused_Dont know),CT,Male,18-29,18,Independent + other,"MODERATE,",no,Northeast,Clinton 10%+,Moderate,Moderate,Independent,Independent,1.608560948,Cell
620,GA,Yes (All),1995,Somewhat disapprove,Disapprove,Somewhat,Not very,Somewhat disapprove,Strongly disapprove,Strongly disapprove,Somewhat approve,(Dont know),Somewhat disapprove,Wrong direction,Worst is yet to come,Not taking the pandemic seriously enough,Federal government could have slowed the spread of the virus,"No, does not describe","No, does not describe","No, does not describe","No, does not describe",Very,Very,Somewhat,Somewhat,Somewhat,Oppose,Favor,Just about right,Somewhat,Less,Giving the environment a break / Less pollution,No,Somewhat,No,(Someone else),(4-year degree_traditional college degree),Moderate, , ,Lean conservative,Republican, ,Not so strong, ,"No, no home telephone", , ,No,White,No,Suburban,"$30,000 to under $50,000",GA,Male,18-29,25,"Republican,",CONSRV (very + somewhat conservative),no,South,Close,Lean Conservative,Somewhat Conservative,Somewhat Republican,Lean Republican,1.41416228,Cell
621,NJ,Yes (All),1999,Somewhat disapprove,(Dont know),Somewhat,Somewhat,(Dont know),Somewhat disapprove,(Dont know),(Dont know),(Dont know),Somewhat approve,Wrong direction,Worst is yet to come,Not taking the pandemic seriously enough,Federal government could have slowed the spread of the virus,"No, does not describe","No, does not describe","No, does not describe","Yes, describes",Somewhat,Somewhat,Very,Very,Somewhat,Favor,Favor,Too little,Somewhat,Less,No silver lining,No,Somewhat,No,(Wont say _ Refused),(High school graduate_GED_High school equivalency),Moderate, , ,Dont lean either way,Democrat,Not so strong, , ,"No, no home telephone", , ,No,"African-American, black",(Dont know_refused),Urban,"Under $30,000",NJ,Male,18-29,21,Democrat,"MODERATE,",no,Northeast,Clinton 10%+,Moderate,Moderate,Somewhat Democrat,Lean Democarat,1.244472736,Cell
622,MA,Yes (All),1990,Somewhat disapprove,Disapprove,Somewhat,Not very,Somewhat disapprove,Somewhat disapprove,(Dont know),Somewhat approve,(Dont know),Somewhat disapprove,(Dont know),Worst is yet to come,Not taking the pandemic seriously enough,(Mixed),"No, does not describe","No, does not describe","No, does not describe","No, does not describe",Somewhat,Not at all,Not at all,Not very,Somewhat,Oppose,Oppose,Too much,Somewhat,No difference,Spending more time with family,No,Not very,No,(Someone else),(4-year degree_traditional college degree),Moderate, , ,Dont lean either way,Neither, , ,Dont lean either way,"No, no home telephone", , ,No,White,No,Small town,"$75,000 to under $100,000",MA,Male,30-45,30,Independent + other,"MODERATE,",no,Northeast,Clinton 10%+,Moderate,Moderate,Independent,Independent,.906825799,Cell
623,MN,Yes (All),1990,Somewhat approve,Disapprove,Somewhat,Not very,Strongly disapprove,Somewhat disapprove,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,Wrong direction,Worst is yet to come,Reacting appropriately,Nothing could have prevented it from spreading the way it has,"Yes, describes","No, does not describe","No, does not describe","No, does not describe",Somewhat,Somewhat,Somewhat,Somewhat,Not very,Favor,Favor,Too little,Not much,No difference,Economic opportunities / Still have a job / Saving money,No,Not very,No,Republican Donald Trump,(Graduate degree),Moderate, , ,Dont lean either way,Republican, ,Not so strong, ,"No, no home telephone", , ,No,White,No,Suburban,"$100,000 or more",MN,Male,30-45,30,"Republican,","MODERATE,",no,Midwest,Close,Moderate,Moderate,Somewhat Republican,Lean Republican,.926756037,Cell
625,IA,Yes (All),1951,Strongly disapprove,Disapprove,Very,Very,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly approve,Somewhat approve,Strongly disapprove,Wrong direction,Worst is yet to come,Not taking the pandemic seriously enough,Federal government could have slowed the spread of the virus,"No, does not describe","No, does not describe","No, does not describe","No, does not describe",Very,Somewhat,Very,Somewhat,Somewhat,Favor,Favor,Too little,A great deal,No difference,Will hurt Trump s reelection / Trump negative,Yes,Somewhat,No,Democrat Hillary Clinton,(Graduate degree),Moderate, , ,Dont lean either way,Democrat,Strong, , ,"No, no home telephone", , ,No,White,No,Urban,"$75,000 to under $100,000",IA,Male,65+,69,Democrat,"MODERATE,",no,Midwest,Clinton 10%+,Moderate,Moderate,Strong Democrat,Strong Democarat,.69986688,Cell
626,TX,Yes (All),1993,Strongly approve,Approve,Somewhat,Somewhat,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Right direction,Worst is yet to come,Reacting appropriately,Nothing could have prevented it from spreading the way it has,"Yes, describes","Yes, describes","Yes, describes","Yes, describes",Somewhat,Not very,Not very,Not very,Not very,Favor,Favor,Too much,Somewhat,No difference,Not sure / Refused,No,Somewhat,No,Republican Donald Trump,(High school graduate_GED_High school equivalency),Conservative, ,Somewhat conservative, ,Republican, ,Not so strong, ,"No, no home telephone", , ,No,White,Yes,Rural,"Under $30,000",TX,Male,18-29,27,"Republican,",CONSRV (very + somewhat conservative),yes,South,Trump 10%+,Somewhat Conservative,Somewhat Conservative,Somewhat Republican,Lean Republican,1.59130965,Cell
627,TX,Yes (All),1948,Strongly disapprove,Disapprove,Very,Very,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly approve,Strongly disapprove,Somewhat disapprove,Wrong direction,Worst is yet to come,Not taking the pandemic seriously enough,Federal government could have slowed the spread of the virus,"No, does not describe","No, does not describe","No, does not describe","No, does not describe",Very,Very,Very,Very,Very,Favor,Favor,Too little,Somewhat,No difference,No silver lining,No,Very,No,Democrat Hillary Clinton,(4-year degree_traditional college degree),Liberal,Very liberal, , ,Democrat,Strong, , ,"No, no home telephone", , ,No,White,Yes,Urban,"Under $30,000",TX,Male,65+,72,Democrat,"LIBERAL (very liberal + somewhat liberal),",yes,South,Close,Very Liberal,Very Liberal,Strong Democrat,Strong Democarat,.684815979,Cell
629,AL,Yes (All),1954,Strongly disapprove,Approve,Somewhat,Not at all,Somewhat approve,Somewhat disapprove,(Dont know),Strongly approve,Strongly approve,Somewhat approve,Right direction,(Dont know),Not taking the pandemic seriously enough,Federal government could have slowed the spread of the virus,"No, does not describe","No, does not describe","No, does not describe",(Dont know),Somewhat,Not very,Not at all,Not at all,Not very,Favor,Oppose,(Dont know),Somewhat,More,Bringing people together / Sense of community,Yes,Not very,Yes,Or did things come up to keep you from voting?,(Graduate degree),Moderate, , ,Dont lean either way,Neither, , ,Dont lean either way,"No, no home telephone", , ,No,White,No,Suburban,"$50,000 to under $75,000",AL,Male,65+,66,Independent + other,"MODERATE,",no,South,Close,Moderate,Moderate,Independent,Independent,.690617175,Cell
630,CO,Yes (All),1959,Strongly disapprove,Disapprove,Very,Very,Somewhat approve,Strongly disapprove,Strongly disapprove,Somewhat approve,Somewhat approve,Somewhat approve,(Dont know),(Dont know),(Dont know),(Dont know),"No, does not describe",(Dont know),(Dont know),(Dont know),Very,Very,Somewhat,Somewhat,Somewhat,Favor,Favor,Just about right,A great deal,Less,No silver lining,(Dont know),Very,(Dont know),(Wont say _ Refused),(High school graduate_GED_High school equivalency),Moderate, , ,Dont lean either way,Democrat,(Dont know), , ,"No, no home telephone", , ,No,"African-American, black",No,Suburban,"Under $30,000",CO,Male,55-64,61,Democrat,"MODERATE,",no,West,Clinton 10%+,Moderate,Moderate,Somewhat Democrat,Lean Democarat,1.228025315,Cell
631,WA,Yes (All),1971,Strongly disapprove,Disapprove,Very,Very,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly approve,Strongly disapprove,Strongly approve,Wrong direction,Worst is yet to come,Not taking the pandemic seriously enough,Federal government could have slowed the spread of the virus,"No, does not describe","No, does not describe","No, does not describe","No, does not describe",Very,Very,Very,Very,Very,Favor,Favor,Too little,A great deal,More,Will be stronger in the future / Pandemic will be contained,No,Very,Yes,Democrat Hillary Clinton,(4-year degree_traditional college degree),Liberal,Somewhat liberal, , ,Democrat,Strong, , ,"No, no home telephone", , ,No,Asian,Yes,Suburban,"$50,000 to under $75,000",WA,Male,46-54,49,Democrat,"LIBERAL (very liberal + somewhat liberal),",no,West,Close,Somewhat Liberal,Somewhat Liberal,Strong Democrat,Strong Democarat,1.10124698,Cell
